time: 2000000000
72 1 1
72 2 1
72 3 1
72 4 1
72 5 1
72 6 1
72 7 1
73 1 1
73 2 1
73 3 1
73 4 1
73 5 1
73 6 1
73 7 1
74 1 1
74 2 1
74 3 1
74 4 1
74 5 1
74 6 1
74 7 1
75 1 1
75 2 1
75 3 1
75 4 1
75 5 1
75 6 1
75 7 1
76 1 1
76 2 1
76 3 1
76 4 1
76 5 1
76 6 1
76 7 1
77 1 1
77 2 1
77 3 1
77 4 1
77 5 1
77 6 1
77 7 1
78 1 1
78 2 1
78 3 1
78 4 1
78 5 1
78 6 1
78 7 1
79 1 1
79 2 1
79 3 1
79 4 1
79 5 1
79 6 1
79 7 1
80 1 1
80 2 1
80 3 1
80 4 1
80 5 1
80 6 1
80 7 1
81 1 1
81 2 1
81 3 1
81 4 1
81 5 1
81 6 1
81 7 1
82 1 1
82 2 1
82 3 1
82 4 1
82 5 1
82 6 1
82 7 1
83 1 1
83 2 1
83 3 1
83 4 1
83 5 1
83 6 1
83 7 1
84 1 1
84 2 1
84 3 1
84 4 1
84 5 1
84 6 1
84 7 1
85 1 1
85 2 1
85 3 1
85 4 1
85 5 1
85 6 1
85 7 1
86 1 1
86 2 1
86 3 1
86 4 1
86 5 1
86 6 1
86 7 1
87 1 1
87 2 1
87 3 1
87 4 1
87 5 1
87 6 1
87 7 1
88 1 1
88 2 1
88 3 1
88 4 1
88 5 1
88 6 1
88 7 1
89 1 1
89 2 1
89 3 1
89 4 1
89 5 1
89 6 1
89 7 1
90 1 1
90 2 1
90 3 1
90 4 1
90 5 1
90 6 1
90 7 1
91 1 1
91 2 1
91 3 1
91 4 1
91 5 1
91 6 1
91 7 1
92 1 1
92 2 1
92 3 1
92 4 1
92 5 1
92 6 1
92 7 1
93 1 1
93 2 1
93 3 1
93 4 1
93 5 1
93 6 1
93 7 1
94 1 1
94 2 1
94 3 1
94 4 1
94 5 1
94 6 1
94 7 1
95 1 1
95 2 1
95 3 1
95 4 1
95 5 1
95 6 1
95 7 1
96 1 1
96 2 1
96 3 1
96 4 1
96 5 1
96 6 1
96 7 1
97 1 1
97 2 1
97 3 1
97 4 1
97 5 1
97 6 1
97 7 1
98 1 1
98 2 1
98 3 1
98 4 1
98 5 1
98 6 1
98 7 1
99 1 1
99 2 1
99 3 1
99 4 1
99 5 1
99 6 1
99 7 1
100 1 1
100 2 1
100 3 1
100 4 1
100 5 1
100 6 1
100 7 1
101 1 1
101 2 1
101 3 1
101 4 1
101 5 1
101 6 1
101 7 1
102 1 1
102 2 1
102 3 1
102 4 1
102 5 1
102 6 1
102 7 1
103 1 1
103 2 1
103 3 1
103 4 1
103 5 1
103 6 1
103 7 1
104 1 1
104 2 1
104 3 1
104 4 1
104 5 1
104 6 1
104 7 1
105 1 1
105 2 1
105 3 1
105 4 1
105 5 1
105 6 1
105 7 1
106 1 1
106 2 1
106 3 1
106 4 1
106 5 1
106 6 1
106 7 1
107 1 1
107 2 1
107 3 1
107 4 1
107 5 1
107 6 1
107 7 1
